ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
78749624,Fernando  Tare,192,CEO,16,CORPBANC:CI,Corpbanca,Banks,
108994449,Eugenio  Miqueles,193,CFO,16,CORPBANC:CI,Corpbanca,Banks,
60740176,Alejandra  Asœn,194,CEO,16,CORPBANC:CI,Corpbanca,Banks,
60740160,Jaime  Fern‡ndez,195,CEO,16,CORPBANC:CI,Corpbanca,Banks,
108994495,Pablo  Gonz‡lez,196,CEO,16,CORPBANC:CI,Corpbanca,Banks,
8374258,Jorge  Saieh,197,Chairman,16,CORPBANC:CI,Corpbanca,Banks,
115616280,Mar’a  Guzm‡n,198,Alternate Director,16,CORPBANC:CI,Corpbanca,Banks,
8374250,Jorge  Zaror,199,BoD,16,CORPBANC:CI,Corpbanca,Banks,Prim: Blanco y Negro S.A.
8374297,Fernando  Dagach,200,BoD,16,CORPBANC:CI,Corpbanca,Banks,
60740235,Pablo  Merino,201,BoD,16,CORPBANC:CI,Corpbanca,Banks,
126752689,Gustavo  Morales,202,BoD,16,CORPBANC:CI,Corpbanca,Banks,
8374295,Julio  Silva,203,BoD,16,CORPBANC:CI,Corpbanca,Banks,
130399664,Francisco  D_lano,204,BoD,16,CORPBANC:CI,Corpbanca,Banks,Prim: Cristalerias de Chile S.A.
408930,Rafael  Gana,205,BoD,16,CORPBANC:CI,Corpbanca,Banks,Prim: Vina Concha y Toro S.A.
510290,Francisco  Asfura,206,BoD,16,CORPBANC:CI,Corpbanca,Banks,Prim: Banco Santander-Chile
171939371,Ana  Barros,207,BoD,16,CORPBANC:CI,Corpbanca,Banks,
58528177,Oliver  Flegel,208,CEO,17,CTCA:CI,Telefonica Chile,Telecoms,
392194,Claudio  Zuniga,209,EC,17,CTCA:CI,Telefonica Chile,Telecoms,
36655655,Isabel  Collao,210,DF,17,CTCA:CI,Telefonica Chile,Telecoms,
58528205,Gustavo  Marambio,211,TOO,17,CTCA:CI,Telefonica Chile,Telecoms,
44543744,Mauricio  Azevedo,212,Chief,17,CTCA:CI,Telefonica Chile,Telecoms,
26487634,Narc’s  Serra,213,VC,17,CTCA:CI,Telefonica Chile,Telecoms,
3280206,Fernando  Huerta,214,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,
792645,Andres  Rodriguez,215,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,Prim: Empresa Electrica Pilmaiquen S.A.
21947142,Hern‡n  Valenzuela,216,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,Prim: Empresa Nacional del Petr—leo
22195093,Patricio  Ramos,217,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,
20593212,Marco  Hadjes,218,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,Prim: Banco Santander-Chile
357112,Jos_  L—pez,219,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,"Prim: Telef—nica del Perœ, S.A.A."
8790872,Emilio  Lopez,220,BoD,17,CTCA:CI,Telefonica Chile,Telecoms,"Prim: Telef—nica, S.A. (global)"
367560,Enrique  Cambiaso,221,CEO,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
367558,Felipe  Scott,222,President,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
58268476,Mario-Jose  Medina,223,CFO,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
508677,Nicolas  Scott,224,Director,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
795090,Manuel  Ojeda,225,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
511684,Alberto  Correa,226,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
59398053,Jos_  Hern‡ndez,227,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
59398055,H_ctor  Nœ–ez,228,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
59398058,Wyman  Atwel,229,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
59398060,Ezequiel  G—mez,230,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
59398062,Jorge  Guti_rrez,231,BoD,18,WMTCL:CI,Walmart Chile / Distribuci—n y Servicio,Retailers,
29158856,Lodewijk  Verdeyen,232,GM/Dir,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
